id;card_name;initial_pip
5cf07103-6d53-46dd-a6ee-267c3aa99e08;Cambridgeshire eyeballs Global;Representative Central engineer
44f5caae-bd31-41a1-9c6c-d528cfbbcd39;Account;functionalities payment
7ad4f527-0391-4ef9-8cec-b57b4a85d35a;vertical;transmitting Communications Savings
c9829d06-9fb5-4ec0-9bbf-aec99411935e;Brunei invoice;Idaho
3af88944-8b33-4cb9-a530-dc15596c39cf;Chair;auxiliary withdrawal zero
83bca121-96a0-4271-8bde-a705053e5d15;calculating FTP Re-contextualized;well-modulated Cambridgeshire experiences
cb9ecb60-6e14-4e54-8419-6eb62496facf;payment interface Cedi;Small
5ad11b62-d105-4f3b-bc80-2b6fcfd96424;Savings Fish Fresh;Right-sized
f50219e5-9d20-4170-be73-8d810ab032e8;seamless;Incredible Director Legacy
c52e79e3-7032-44ad-b117-86417185ab0e;Handmade hard Future;Adaptive
