id;intro_text;challenge_name;difficulty
22a69342-f1ce-4ef5-8c0c-1b9a2b69fd51;Team-oriented Cotton Chips;SOURCEROUS;HIGH
80cc85dc-9337-4ad5-bd1c-f24c93832173;Unbranded;STRONG;LOW
53a2162a-5bc6-4506-b84f-d688fb792b79;Drives;STRONG;LOW
de290c2a-ce71-41de-bc94-4ee954008fcb;Assistant;SOURCEROUS;HIGH
61e14949-8c25-474d-ab76-8a363bda6917;mint;STRONG;HIGH
d8a4b1ba-9931-40b2-915f-a8fb4528a14c;Central copying;SWIFT;LOW
4fbed990-12b2-4c7c-86c7-2a6beaa72b2d;generate asymmetric Bedfordshire;SWIFT;HIGH
d888a672-b049-4ca9-b857-0f47e04e70a3;systems;STRONG;LOW
5df6a8ac-d35e-4e10-879e-16e6ca94b752;withdrawal payment;STRONG;HIGH
1e301ed3-cec6-45d4-b784-68fa8e656533;Sausages installation District;SWIFT;HIGH
