id;door_name
c4718002-4d14-48b9-bed1-2ee8aa6f2463;Liaison British Communications
8876c666-6e24-4d33-b4c5-fd4fbf94adda;Bolivia RAM Plastic
6e19572b-ebe8-4176-9918-409e703cbfc0;North Architect
8ce91971-6406-4d5e-932d-21495066abb8;auxiliary Intelligent
e3ba3c82-00ea-4cb3-b104-e82422266956;Progressive
ee46d5d8-192a-42df-8fb0-f538b973a960;Gloves
ec19fe95-bbb5-4425-806e-c5671c4ab591;e-business Program Legacy
11670c29-376b-499b-9e61-350cc83ceb39;Soft productivity
fd880f5b-f358-4646-bce6-df83a37b0a2e;online mission-critical
71d6e617-1ac1-40e1-92d7-f6410e665bad;Moldova
