id;map_name;description
07eed194-1a82-4dc1-b8eb-8efc270c3e40;Organized Home;mindshare haptic
e430b4e5-1aa6-4088-a264-d64583480bac;ability;Officer
5ae8d319-7552-4652-a7cd-91a97b8216b2;incubate Shilling overriding;Concrete deposit Nevada
4c9f49d4-9d83-44d4-8cf0-a7dd16e2a0cc;Executive contingency;portals Bahamas
ee6f192c-7da6-4abf-bd3b-dbce1967057d;Central deposit;up Cuban indexing
7009e13b-d963-4146-987c-13e5ba741922;Chad Outdoors New;Granite Sol driver
9065a98e-8acf-499e-b8b0-007b4be3b21c;Developer Division;Open-architected Plastic
1c41e53f-b084-4638-b724-e2581bed60c5;architect cross-platform;connecting
e7f56aac-64fa-4abe-984d-96d243ec082f;programming;partnerships attitude-oriented SMTP
e098e618-2679-418b-a79e-afc0ee23a7de;digital Illinois;Israeli
