id;pack_name;deck_name;config_setup
0feea850-27bc-44a5-8b46-d9cef24fd040;Intelligent deposit Rubber;Central;AGP
a21edaca-3d21-41f8-ad81-903861845d76;e-business;Account Oregon parsing;frictionless
8eac8ac6-bd6f-4036-9dc1-66182873759d;Optimized;mobile;Beauty
a89f5d25-d542-4bd1-8047-7e6ef5e3b061;index;monitor;Reduced
9c400bdd-fa37-476c-aa2d-9392f0375d80;Berkshire;Loan Intelligent contextually-based;microchip
cae6e225-c43f-44f5-8450-eabf5e81d85f;implement Personal;Berkshire;portals Card Chips
e3d7fb5f-3c18-4169-98ba-aeaae2410f9c;Tala;panel;Loan Optimization
6eed9f85-aa20-46ad-b983-eeec229b7884;Global Metal viral;SCSI South SAS;Fall Account Sleek
ac3458e5-dab8-4a3f-afb0-a9fdb9074d6c;Chair;Shoes;Profit-focused Indonesia withdrawal
6bf6394f-2023-4b09-bf04-ec74ff76a1e6;invoice;incentivize;withdrawal Lakes encoding
