id;prize_name;pips;expire_date
fcca5fff-b60b-48ab-ad2c-700dfdd0c0ff;Delaware;5429;2022-11-01T10:11:45
071e7c0b-7ee9-4d48-b609-a9862463f884;Practical navigate RAM;34829;2022-11-01T08:56:55
885de0cf-f0b3-430b-a7a5-7ba983aaaa72;adapter Pants West;45661;2022-11-01T13:46:30
9011ab3c-1098-42a0-9cc7-4479c1e474e8;Palau;11401;2022-11-02T01:13:48
c7fc44e3-4078-45c0-9ed5-a9c81992a221;generating 24/365 envisioneer;97191;2022-11-01T22:17:19
f23428dd-e4a8-402c-abe7-ebf774848057;copy;17204;2022-11-02T04:23:33
a1234cd5-38d7-48e7-a3a0-d01e7489c8c5;synthesizing network Armenia;62241;2022-11-01T07:33:06
f9945967-9884-4d9e-b9d1-245a6dd674a9;Montana CSS Granite;47746;2022-11-01T20:52:08
d1927dfd-8969-4546-a41d-2acabdcb76d4;Plastic override invoice;58831;2022-11-01T14:47:29
9bd8fe61-e392-453f-b551-4b02cc2201f2;turn-key Home;13090;2022-11-01T19:14:25
