id;intro_text;room_name
40f51bdf-89ea-43f3-8c0a-efa3af467adc;Account Research;e-commerce Cheese
ed4e48d4-1ee2-4b5b-af4d-7e394f37a069;Buckinghamshire Small;Baby Handcrafted
a5470ecf-357d-45e6-a6e3-236470b898a1;alarm;Beauty Account
5c354813-4d6c-441a-89c9-8010ce89f509;policy;deposit implement
435dc7db-c001-45a6-8496-565ac3544485;reintermediate;parsing
aeef1c2a-bd82-4b0e-9483-3a813bb16edd;Liberian;magenta ADP Soap
753dea48-dd86-48a2-a351-78457816ee6f;Mouse synthesizing Avon;experiences invoice
d9f9bf2d-7724-4b10-8a13-ec4436fae807;Jewelery exploit;Home
4b70cde3-42ad-4561-8a18-db4b30908d93;Quality Guernsey online;payment Concrete
b10bc625-b4ed-4109-95ef-65b0907f97a1;software pink;uniform leverage
