id;setup;num_of_doors;num_of_prizes
152ab10b-92a3-471d-9be6-4568519fc099;generating Baby;36713;90790
8ea873b1-3437-48ca-9464-d3b9264b7101;Investment Handcrafted;7023;43512
f9a4eef7-23b7-4ac4-9f8b-0469169670eb;Azerbaijan Intelligent;83359;2093
5042e24a-39e4-4ef0-a153-6d3b9272d4f0;Bedfordshire;92051;46848
a5b8a5aa-6970-4595-b6ce-857fff110405;Orchestrator quantifying;60962;70795
84376e80-60ee-48ed-bafd-899fa52c5ed2;teal;7001;27545
2cc78825-76bd-4b6f-aa6b-66adad7796ed;quantify;5793;35190
3227c49c-7d66-4c93-a559-98ae38696ffb;Bermuda;10511;29965
9ba054a9-3f4d-4ead-a50b-7e735fd20405;projection;18734;39649
0bc7d82d-e19e-4505-82fd-652bf50f4f26;compress bi-directional;7818;70849
